Event_Name,Category,State,City,Month,Season,Start_Date,End_Date,Expected_Visitors,Occupancy_Lift_Percent,Spending_Per_Visitor
Coachella Valley Music and Arts Festival,Music,California,Indio,April,Spring,2024-04-12,2024-04-21,750000,18,420
Lollapalooza,Music,Illinois,Chicago,August,Summer,2024-08-01,2024-08-04,400000,12,380
Burning Man,Music,Nevada,Black Rock,August,Summer,2024-08-25,2024-09-02,70000,10,520
Stagecoach Festival,Music,California,Indio,April,Spring,2024-04-26,2024-04-28,90000,8,350
Austin City Limits,Music,Texas,Austin,October,Fall,2024-10-04,2024-10-13,450000,14,400
New Orleans Jazz & Heritage Festival,Music,Louisiana,New Orleans,May,Spring,2024-05-03,2024-05-12,475000,15,380
Mardi Gras,Cultural,Louisiana,New Orleans,February,Winter,2024-02-10,2024-02-13,1200000,22,310
Albuquerque International Balloon Fiesta,Nature,New Mexico,Albuquerque,October,Fall,2024-10-05,2024-10-13,800000,16,290
Cherry Blossom Festival,Nature,District of Columbia,Washington DC,April,Spring,2024-04-01,2024-04-14,1500000,10,220
Thanksgiving Parade,Cultural,New York,New York City,November,Fall,2024-11-28,2024-11-28,3500000,25,250
Super Bowl LVIII,Sports,Nevada,Las Vegas,February,Winter,2024-02-11,2024-02-11,65000,40,950
NBA All-Star Weekend,Sports,Indiana,Indianapolis,February,Winter,2024-02-16,2024-02-18,80000,18,600
US Open (Tennis),Sports,New York,New York City,September,Fall,2024-08-26,2024-09-08,700000,20,500
Boston Marathon,Sports,Massachusetts,Boston,April,Spring,2024-04-15,2024-04-15,30000,10,420
TechCrunch Disrupt,Tech,California,San Francisco,September,Fall,2024-09-10,2024-09-12,15000,6,800
CES (Consumer Electronics Show),Tech,Nevada,Las Vegas,January,Winter,2024-01-09,2024-01-12,175000,12,900
SXSW (South by Southwest),Tech,Texas,Austin,March,Spring,2024-03-08,2024-03-17,280000,15,650
Comic-Con International,Cultural,California,San Diego,July,Summer,2024-07-24,2024-07-28,135000,14,480
Napa Valley Wine Festival,Food,California,Napa,May,Spring,2024-05-10,2024-05-12,60000,8,550
Epcot International Food & Wine Festival,Food,Florida,Orlando,October,Fall,2024-10-01,2024-11-15,1000000,18,370
Miami Art Basel,Art,Florida,Miami,December,Winter,2024-12-05,2024-12-08,80000,14,520
Colorado Beer Week,Food,Colorado,Denver,June,Summer,2024-06-14,2024-06-23,100000,10,300
Aspen Music Festival,Music,Colorado,Aspen,July,Summer,2024-07-01,2024-08-15,75000,9,400
Durango Cowboy Poetry Gathering,Cultural,Colorado,Durango,October,Fall,2024-10-03,2024-10-06,15000,5,250
Great Smoky Mountains Fall Festival,Nature,North Carolina,Asheville,October,Fall,2024-10-10,2024-10-20,200000,12,220
Everglades Birding Festival,Nature,Florida,Homestead,January,Winter,2024-01-10,2024-01-15,20000,6,180
Key West Fantasy Fest,Cultural,Florida,Key West,October,Fall,2024-10-18,2024-10-27,75000,8,400
Christmas Holidays,Cultural,New York,New York City,December,Winter,2024-12-20,2024-12-31,2500000,30,380
New Year Celebrations,Cultural,Florida,Miami,December,Winter,2024-12-31,2025-01-01,1800000,22,420
Thanksgiving Week,Cultural,California,Los Angeles,November,Fall,2024-11-23,2024-11-30,2000000,25,350
Halloween Celebrations,Cultural,Massachusetts,Salem,October,Fall,2024-10-25,2024-10-31,1200000,20,320

